SEASON,GAME_ID,TEAM_A,TEAM_A_W,TEAM_A_L,TEAM_A_FGA,TEAM_A_FGM,TEAM_A_FG_PCT,TEAM_A_FG3A,TEAM_A_FG3M,TEAM_A_FG3_PCT,TEAM_A_FTA,TEAM_A_FTM,TEAM_A_FT_PCT,TEAM_A_OREB,TEAM_A_DREB,TEAM_A_REB,TEAM_A_AST,TEAM_A_STL,TEAM_A_BLK,TEAM_A_TOV,TEAM_A_PF,TEAM_A_PLUS_MINUS,TEAM_A_ELO,TEAM_B,TEAM_B_W,TEAM_B_L,TEAM_B_FGA,TEAM_B_FGM,TEAM_B_FG_PCT,TEAM_B_FG3A,TEAM_B_FG3M,TEAM_B_FG3_PCT,TEAM_B_FTA,TEAM_B_FTM,TEAM_B_FT_PCT,TEAM_B_OREB,TEAM_B_DREB,TEAM_B_REB,TEAM_B_AST,TEAM_B_STL,TEAM_B_BLK,TEAM_B_TOV,TEAM_B_PF,TEAM_B_PLUS_MINUS,TEAM_B_ELO,FG_DIFF,FG3_DIFF,REB_DIFF,AST_DIFF,STOCK_DIFF,TOV_DIFF,PLUS_MINUS_DIFF,ELO_DIFF,TEAM_A_WIN
22021,22100008,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
22021,22100004,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
22021,22100003,CHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
22021,22100014,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
22021,22100016,GSW,1.0,0.0,93.0,41.0,0.44086021505376344,39.0,14.0,0.358974358974359,30.0,25.0,0.8333333333333334,9.0,41.0,50.0,30.0,9.0,2.0,17.0,18.0,7.0,1520,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,0.44086021505376344,0.358974358974359,50.0,30.0,11.0,17.0,7.0,20,1
22021,22100015,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,MIL,1.0,0.0,105.0,48.0,0.45714285714285713,45.0,17.0,0.37777777777777777,18.0,14.0,0.7777777777777778,13.0,41.0,54.0,25.0,8.0,9.0,7.0,19.0,23.0,1531,-0.45714285714285713,-0.37777777777777777,-54.0,-25.0,-17.0,-7.0,-23.0,-31,1
22021,22100026,SAC,1.0,0.0,92.0,42.0,0.45652173913043476,41.0,17.0,0.4146341463414634,29.0,23.0,0.7931034482758621,7.0,36.0,43.0,24.0,6.0,4.0,10.0,22.0,3.0,1513,UTA,1.0,0.0,91.0,40.0,0.43956043956043955,47.0,14.0,0.2978723404255319,15.0,13.0,0.8666666666666667,12.0,41.0,53.0,18.0,6.0,5.0,10.0,19.0,21.0,1530,0.016961299569995203,0.1167618059159315,-10.0,6.0,-1.0,0.0,-18.0,-17,0
22021,22100017,CLE,0.0,1.0,93.0,47.0,0.5053763440860215,38.0,14.0,0.3684210526315789,18.0,13.0,0.7222222222222222,7.0,29.0,36.0,38.0,6.0,5.0,10.0,17.0,-11.0,1475,CHA,1.0,0.0,107.0,46.0,0.42990654205607476,31.0,13.0,0.41935483870967744,27.0,18.0,0.6666666666666666,12.0,34.0,46.0,29.0,9.0,5.0,8.0,21.0,1.0,1506,0.07546980202994674,-0.05093378607809851,-10.0,9.0,-3.0,2.0,-12.0,-31,0
22021,22100022,CHI,1.0,0.0,86.0,37.0,0.43023255813953487,23.0,7.0,0.30434782608695654,15.0,13.0,0.8666666666666667,9.0,39.0,48.0,18.0,8.0,5.0,17.0,19.0,6.0,1519,NOP,0.0,1.0,93.0,39.0,0.41935483870967744,30.0,13.0,0.43333333333333335,9.0,6.0,0.6666666666666666,10.0,34.0,44.0,28.0,5.0,6.0,13.0,16.0,-20.0,1469,0.010877719429857435,-0.1289855072463768,4.0,-10.0,2.0,4.0,26.0,50,1
22021,22100023,HOU,0.0,1.0,88.0,40.0,0.45454545454545453,33.0,11.0,0.3333333333333333,22.0,15.0,0.6818181818181818,12.0,29.0,41.0,21.0,13.0,3.0,24.0,25.0,-18.0,1470,OKC,0.0,1.0,91.0,34.0,0.37362637362637363,35.0,7.0,0.2,18.0,11.0,0.6111111111111112,15.0,35.0,50.0,19.0,4.0,2.0,14.0,15.0,-21.0,1469,0.0809190809190809,0.1333333333333333,-9.0,2.0,10.0,10.0,3.0,1,1
22021,22100025,LAL,0.0,1.0,95.0,45.0,0.47368421052631576,42.0,15.0,0.35714285714285715,19.0,9.0,0.47368421052631576,5.0,40.0,45.0,21.0,7.0,4.0,17.0,25.0,-7.0,1479,PHX,0.0,1.0,87.0,36.0,0.41379310344827586,37.0,14.0,0.3783783783783784,17.0,12.0,0.7058823529411765,11.0,34.0,45.0,23.0,9.0,3.0,18.0,18.0,-12.0,1474,0.05989110707803991,-0.02123552123552125,0.0,-2.0,-1.0,-1.0,5.0,5,0
22021,22100021,PHI,1.0,0.0,85.0,44.0,0.5176470588235295,25.0,13.0,0.52,20.0,16.0,0.8,6.0,41.0,47.0,24.0,9.0,5.0,12.0,11.0,20.0,1530,BKN,0.0,1.0,84.0,37.0,0.44047619047619047,32.0,17.0,0.53125,23.0,13.0,0.5652173913043478,5.0,39.0,44.0,19.0,3.0,9.0,12.0,17.0,-23.0,1468,0.077170868347339,-0.011249999999999982,3.0,5.0,2.0,0.0,43.0,62,0
22021,22100019,WAS,1.0,0.0,81.0,36.0,0.4444444444444444,27.0,5.0,0.18518518518518517,26.0,21.0,0.8076923076923077,7.0,44.0,51.0,20.0,14.0,8.0,21.0,17.0,15.0,1527,IND,0.0,1.0,90.0,42.0,0.4666666666666667,47.0,17.0,0.3617021276595745,24.0,21.0,0.875,8.0,43.0,51.0,29.0,2.0,10.0,16.0,24.0,-1.0,1493,-0.022222222222222254,-0.17651694247438932,0.0,-9.0,10.0,5.0,16.0,34,1
22021,22100018,ORL,0.0,1.0,86.0,35.0,0.4069767441860465,29.0,9.0,0.3103448275862069,23.0,18.0,0.782608695652174,13.0,31.0,44.0,17.0,6.0,6.0,16.0,20.0,-26.0,1467,NYK,1.0,0.0,105.0,51.0,0.4857142857142857,45.0,17.0,0.37777777777777777,27.0,19.0,0.7037037037037037,7.0,48.0,55.0,27.0,9.0,10.0,17.0,22.0,4.0,1516,-0.0787375415282392,-0.06743295019157086,-11.0,-10.0,-7.0,-1.0,-30.0,-49,0
22021,22100024,DEN,1.0,0.0,83.0,44.0,0.5301204819277109,39.0,17.0,0.4358974358974359,9.0,5.0,0.5555555555555556,6.0,40.0,46.0,25.0,9.0,1.0,17.0,20.0,12.0,1525,SAS,1.0,0.0,98.0,49.0,0.5,30.0,13.0,0.43333333333333335,18.0,12.0,0.6666666666666666,13.0,30.0,43.0,32.0,8.0,3.0,8.0,22.0,26.0,1532,0.030120481927710885,0.002564102564102555,3.0,-7.0,-1.0,9.0,-14.0,-7,1
22021,22100020,BOS,0.0,1.0,117.0,48.0,0.41025641025641024,57.0,21.0,0.3684210526315789,23.0,17.0,0.7391304347826086,15.0,41.0,56.0,34.0,13.0,9.0,18.0,24.0,-4.0,1483,TOR,0.0,1.0,97.0,30.0,0.30927835051546393,34.0,7.0,0.20588235294117646,22.0,16.0,0.7272727272727273,19.0,35.0,54.0,14.0,10.0,4.0,19.0,21.0,-15.0,1472,0.10097805974094631,0.16253869969040247,2.0,20.0,8.0,-1.0,11.0,11,0
